CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
8001007801,Colorado,Adams County,1,3732,1191,0,166.0,4.45,0,1,0,1,1,1,30.7,40921.0,0,1,0,1,0,0,0,1,,1574.0,,,1064.0,,1574.0,42.17,1064.0,28.52,546.0,14.64,43.0,1.14,533.0,14.29,219.0,5.87,223.0,5.96,10.0,0.27,28.0,0.74,561.0,15.04,981.0,26.29,134.0,11.26,137.0,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2568.0,1226.0,112.0,1452.0,571.0,288.0,13.0,59.0,1349.0,2348.0,317.0,363.0
8001007802,Colorado,Adams County,1,3758,1240,0,30.0,0.8,0,0,0,0,0,1,32.6,31685.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3238.0,1256.0,194.0,1484.0,588.0,86.0,11.0,83.0,1506.0,2631.0,403.0,504.0
8001007900,Colorado,Adams County,1,5555,1780,0,16.0,0.29,0,1,0,1,1,1,17.9,47163.0,0,1,0,1,0,0,0,1,,4331.0,,,2306.0,,4331.0,77.96,2306.0,41.52,1340.0,24.13,201.0,3.61,1805.0,32.49,667.0,12.01,97.0,1.74,16.0,0.3,99.0,1.79,1646.0,29.63,2815.0,50.68,157.0,8.83,294.0,16.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3147.0,1753.0,255.0,2398.0,872.0,122.0,21.0,117.0,2025.0,3544.0,215.0,391.0
8001008000,Colorado,Adams County,1,5742,1726,0,3.0,0.05,0,1,0,0,0,1,18.1,52450.0,0,1,0,1,0,0,0,0,,3527.0,,,1597.0,,3527.0,61.42,1597.0,27.81,1052.0,18.32,322.0,5.61,1758.0,30.62,636.0,11.07,94.0,1.64,6.0,0.11,45.0,0.79,987.0,17.19,1889.0,32.89,31.0,1.78,217.0,12.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3369.0,1810.0,431.0,2873.0,957.0,137.0,18.0,105.0,1652.0,3168.0,89.0,370.0
8001008100,Colorado,Adams County,1,854,314,0,248.0,29.04,1,1,1,0,0,1,27.7,64821.0,1,1,1,1,1,0,0,0,396.0,658.0,396.0,173.0,288.0,173.0,658.0,77.07,288.0,33.76,128.0,14.98,19.0,2.17,384.0,44.98,64.0,7.5,89.0,10.41,0.0,0.0,4.0,0.47,117.0,13.7,187.0,21.9,25.0,8.01,12.0,3.93,396.0,46.36,173.0,20.31,84.0,9.85,9.0,1.09,232.0,27.21,51.0,5.94,48.0,5.66,0.0,0.0,3.0,0.38,61.0,7.16,101.0,11.83,15.0,4.68,7.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.0,128.0,176.0,543.0,84.0,89.0,0.0,6.0,132.0,207.0,57.0,28.0
8001008200,Colorado,Adams County,1,5484,1477,0,430.0,7.84,1,1,1,0,0,1,12.2,62328.0,1,1,1,1,1,0,0,0,5361.0,5484.0,5361.0,2200.0,2252.0,2200.0,5484.0,100.0,2252.0,41.07,1479.0,26.97,637.0,11.62,2964.0,54.05,970.0,17.69,186.0,3.39,24.0,0.44,85.0,1.55,1255.0,22.88,2420.0,44.13,82.0,5.54,227.0,15.38,5361.0,97.75,2200.0,40.12,1444.0,26.33,621.0,11.32,2887.0,52.65,949.0,17.3,185.0,3.37,23.0,0.42,80.0,1.46,1237.0,22.56,2371.0,43.23,79.0,5.34,221.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408.0,1479.0,637.0,2964.0,970.0,186.0,24.0,85.0,1255.0,2420.0,85.0,235.0
8001008308,Colorado,Adams County,1,5557,1802,0,7.0,0.13,1,1,1,1,1,1,23.2,43229.0,1,1,1,1,1,0,0,1,589.0,4460.0,589.0,336.0,2627.0,336.0,4460.0,80.27,2627.0,47.27,1446.0,26.02,404.0,7.27,2229.0,40.11,919.0,16.53,275.0,4.96,24.0,0.43,43.0,0.77,971.0,17.47,1955.0,35.19,129.0,7.16,217.0,12.06,589.0,10.6,336.0,6.04,209.0,3.76,27.0,0.49,277.0,4.98,138.0,2.48,19.0,0.35,4.0,0.07,5.0,0.09,145.0,2.62,287.0,5.16,12.0,0.69,26.0,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060.0,1819.0,482.0,2870.0,1016.0,306.0,25.0,50.0,1290.0,2619.0,141.0,275.0
8001008309,Colorado,Adams County,1,3254,1030,0,4.0,0.12,1,1,1,0,0,1,15.5,55755.0,1,1,1,1,1,0,0,0,934.0,2236.0,934.0,235.0,861.0,235.0,2236.0,68.71,861.0,26.45,804.0,24.7,145.0,4.44,1428.0,43.88,100.0,3.07,18.0,0.55,2.0,0.06,49.0,1.5,639.0,19.65,1501.0,46.12,15.0,1.42,98.0,9.49,934.0,28.7,235.0,7.22,340.0,10.45,70.0,2.16,616.0,18.93,24.0,0.73,4.0,0.13,0.0,0.0,34.0,1.04,256.0,7.88,631.0,19.4,1.0,0.11,40.0,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981.0,1126.0,195.0,1937.0,323.0,48.0,8.0,59.0,879.0,1915.0,72.0,156.0
8001008353,Colorado,Adams County,0,6044,2137,0,0.0,0.0,0,0,0,0,0,0,12.0,78220.0,0,0,0,0,0,0,0,0,,,,,,,6042.0,99.97,2004.0,33.15,1730.0,28.63,310.0,5.13,3559.0,58.88,902.0,14.92,194.0,3.21,34.0,0.56,46.0,0.76,1307.0,21.62,2042.0,33.79,44.0,2.07,147.0,6.86,5401.0,89.36,1824.0,30.17,1536.0,25.41,269.0,4.44,3197.0,52.9,799.0,13.22,181.0,3.0,34.0,0.56,39.0,0.65,1150.0,19.03,1783.0,29.5,36.0,1.68,132.0,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2653.0,1731.0,310.0,3559.0,904.0,194.0,34.0,46.0,1307.0,2042.0,59.0,177.0
8001008401,Colorado,Adams County,0,4315,1543,0,0.0,0.0,0,0,0,0,0,0,10.2,80609.0,1,1,0,0,0,1,0,0,614.0,614.0,,182.0,182.0,,4269.0,98.93,1346.0,31.19,1189.0,27.56,358.0,8.3,3821.0,88.55,39.0,0.9,22.0,0.51,17.0,0.39,34.0,0.8,336.0,7.79,527.0,12.21,44.0,2.82,68.0,4.38,3012.0,69.8,923.0,21.39,798.0,18.5,289.0,6.7,2670.0,61.88,37.0,0.86,18.0,0.42,13.0,0.3,15.0,0.35,259.0,6.0,395.0,9.16,30.0,1.97,47.0,3.07,614.0,14.23,182.0,4.23,170.0,3.94,44.0,1.02,513.0,11.89,3.0,0.06,6.0,0.14,10.0,0.23,1.0,0.03,81.0,1.88,110.0,2.55,6.0,0.36,9.0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,1462.0,1202.0,359.0,3864.0,39.0,22.0,17.0,35.0,338.0,531.0,47.0,73.0
